,x
1,id
2,form
3,lemma
4,postag
5,relation
6,head
7,cite
8,Subtree
9,Projectivity
10,Planarity
11,DepDist
12,Neighborhood
13,Relation_Subtree
14,POS_Subtree
15,Rel_Pos_Subtree
16,self-relation
17,self-depdist
18,self-morph-pos
19,self-morph-person
20,self-morph-number
21,self-morph-tense
22,self-morph-mood
23,self-morph-voice
24,self-morph-gender
25,self-morph-case
26,self-morph-degree
27,parent-relation
28,parent-depdist
29,parent-planarity
30,parent-projectivity
31,parent-morph-pos
32,parent-morph-person
33,parent-morph-number
34,parent-morph-tense
35,parent-morph-mood
36,parent-morph-voice
37,parent-morph-gender
38,parent-morph-case
39,parent-morph-degree
40,g1-parent-relation
41,g1-parent-depdist
42,g1-parent-planarity
43,g1-parent-projectivity
44,g1-parent-morph-pos
45,g1-parent-morph-person
46,g1-parent-morph-number
47,g1-parent-morph-tense
48,g1-parent-morph-mood
49,g1-parent-morph-voice
50,g1-parent-morph-gender
51,g1-parent-morph-case
52,g1-parent-morph-degree
53,g2-parent-relation
54,g2-parent-depdist
55,g2-parent-morph-pos
56,g3-parent-relation
57,g3-parent-depdist
58,g3-parent-morph-pos
59,g4-parent-relation
60,g4-parent-depdist
61,g4-parent-morph-pos
